recipe_id,step_number,step_text
veg-manchurian-gravy-e7a92b,5,Add 1 cup water and bring to a simmer. Mix cornflour with a little water and add to thicken the gravy to desired consistency.
veg-manchurian-gravy-e7a92b,6,Add fried manchurian balls to the gravy and simmer for 2-3 minutes so flavors combine.
veg-manchurian-gravy-e7a92b,7,Garnish with chopped spring onion and serve hot with fried rice or noodles.
aloo-paratha-97cd53,1,Make a soft dough with wheat flour and water; rest 15 minutes.
aloo-paratha-97cd53,2,"Mash boiled potatoes, add chopped chillies, coriander, garam masala and salt."
aloo-paratha-97cd53,3,"Roll dough into small circle, place potato filling, seal and roll gently into paratha."
aloo-paratha-97cd53,4,Cook on tawa with ghee until golden brown on both sides; serve hot with curd or pickle.
chicken-biryani-ba7bc1,1,Wash and soak basmati rice for 30 minutes.
chicken-biryani-ba7bc1,2,"Marinate chicken with yogurt, ginger-garlic paste, biryani masala, red chilli, turmeric and salt for at least 30 minutes."
chicken-biryani-ba7bc1,3,Fry onions until deep golden and set aside. Reserve some for garnish.
chicken-biryani-ba7bc1,4,Par-cook rice in salted boiling water till 70% done; drain and keep aside.
chicken-biryani-ba7bc1,5,"In a heavy bottom pan, heat ghee and oil, add whole spices and sauté for 30 seconds."
chicken-biryani-ba7bc1,6,Add marinated chicken and cook until chicken is 80% done and oil separates.
chicken-biryani-ba7bc1,7,"Layer half the rice over chicken, sprinkle half of mint, coriander and fried onions. Repeat layers."
chicken-biryani-ba7bc1,8,"Dissolve saffron in warm milk and drizzle on top, add ghee."
chicken-biryani-ba7bc1,9,Seal the pan with dough or tight lid and cook on low flame (dum) for 25-30 minutes.
chicken-biryani-ba7bc1,10,Turn off heat and rest for 10 minutes before opening. Gently mix layers and serve hot with raita.
chicken-curry-263486,1,"Heat oil, sauté onions until golden; add ginger-garlic paste and cook until raw smell disappears."
chicken-curry-263486,2,Add tomato puree and cook until oil separates.
chicken-curry-263486,3,"Add spices (turmeric, chilli, coriander) and mix; add chicken pieces and mix to coat."
chicken-curry-263486,4,"Add water to cover chicken partly, simmer on medium-low for 25-30 minutes until chicken is cooked and gravy thickens."
chicken-curry-263486,5,"Stir in garam masala, garnish with coriander and serve hot with rice or roti."
chicken-tacos-351b72,1,Season chicken with taco spice and a pinch of salt; sauté in hot oil until cooked through.
chicken-tacos-351b72,2,"Warm tortillas and layer with lettuce, chicken, tomato and onion."
chicken-tacos-351b72,3,Top with sour cream or salsa and serve immediately.
chocolate-cake-f01122,1,Preheat oven to 180°C (350°F). Grease and line a 8-inch cake pan.
chocolate-cake-f01122,2,"In a bowl, sift flour, cocoa, baking powder, baking soda and salt."
chocolate-cake-f01122,3,"In another bowl whisk eggs, sugar, oil and vanilla; mix with dry ingredients alternating with milk."
chocolate-cake-f01122,4,Stir in hot water to make a smooth batter; pour into prepared pan and bake for 28-32 minutes until a skewer comes out clean.
chocolate-cake-f01122,5,"Cool, remove from pan and frost or dust with cocoa as desired."
chole-masala-5c37aa,1,Pressure cook soaked chickpeas with salt until soft (about 6-7 whistles).
chole-masala-5c37aa,2,"Heat oil, add chopped onions and sauté until golden; add ginger-garlic paste and sauté briefly."
chole-masala-5c37aa,3,"Add tomato puree and cook until oil separates; add chole masala, red chilli and cook 1-2 minutes."
chole-masala-5c37aa,4,"Add cooked chickpeas, some of the cooking water, simmer for 10-12 minutes; add amchur and garnish with coriander."
dal-tadka-cd6ac5,1,Rinse dal and cook with turmeric and water until soft (pressure cook 3-4 whistles).
dal-tadka-cd6ac5,2,Mash dal to desired consistency and simmer for 4-5 minutes.
dal-tadka-cd6ac5,3,"In a small pan, heat ghee, add cumin seeds, slit red chilli, garlic and curry leaves; sauté until garlic is golden."
dal-tadka-cd6ac5,4,"Pour tadka over dal, mix well, garnish with coriander and serve with rice or roti."
egg-fried-rice-ebcced,1,"Heat wok, add oil and scramble beaten eggs quickly; remove and set aside."
egg-fried-rice-ebcced,2,"Add more oil, sauté garlic, then add cooked rice and toss on high heat."
egg-fried-rice-ebcced,3,"Add soy sauce, salt, pepper and mix; fold in scrambled eggs and spring onions before serving."
gulab-jamun-5033f7,1,"Make a smooth dough from milk powder, flour and milk; divide into small smooth balls without cracks."
gulab-jamun-5033f7,2,Heat sugar and water to make a one-string syrup; add crushed cardamom and a dash of rose water.
gulab-jamun-5033f7,3,Deep fry balls on low-medium heat until golden brown; drain briefly and transfer into warm sugar syrup. Let soak for 1-2 hours before serving.
idli-sambar-35cf3e,1,Steam idlis from batter in idli moulds for 10–12 minutes until spongy.
idli-sambar-35cf3e,2,Cook toor dal until soft and mash or blend to smooth consistency.
idli-sambar-35cf3e,3,"In a pan, sauté vegetables, add sambar powder and tamarind pulp with water, bring to boil."
idli-sambar-35cf3e,4,"Add cooked dal, simmer 7–8 minutes, finish with tadka of mustard seeds and curry leaves."
idli-sambar-35cf3e,5,Serve hot idlis with sambar and coconut chutney.
kheer-b652e4,1,Wash rice and soak 15 minutes; drain.
kheer-b652e4,2,"Bring milk to a boil in a heavy-bottom pan; add rice and simmer on low, stirring frequently."
kheer-b652e4,3,Cook until rice is soft and milk reduces to creamy consistency (25-30 minutes).
kheer-b652e4,4,"Add sugar, cardamom, saffron, nuts and raisins; simmer 2-3 minutes more and serve warm or chilled."
khichdi-cf1a02b3,1,"Wash rice, moong dal and toor dal thoroughly. Soak in water for 15 minutes, then drain."
khichdi-cf1a02b3,2,"Peel and chop onions; chop tomatoes, green chilies and dice potatoes into small cubes. Keep curry leaves whole and finely chop coriander for garnish."
khichdi-cf1a02b3,3,Place a 3–5 L pressure cooker on medium flame. Warm the cooker for 30–60 seconds and add oil; allow it to heat until it shimmers.
khichdi-cf1a02b3,4,Add jeera and mustard seeds. Let them splutter for 20–30 seconds but do not burn.
khichdi-cf1a02b3,5,"Add chopped onions and green chilies. Sauté for 3–4 minutes until onions turn light golden, stirring continuously."
khichdi-cf1a02b3,6,Add chopped tomato and cook for 1–2 minutes until tomatoes soften and turn pulpy.
khichdi-cf1a02b3,7,"Add salt, red chilli powder, turmeric, ginger-garlic paste, curry leaves and potato cubes. Mix and cook for 4–5 minutes to remove raw spice smell."
khichdi-cf1a02b3,8,"Add soaked and drained rice, moong dal and toor dal. Mix gently to avoid breaking rice grains."
khichdi-cf1a02b3,9,Pour 4 cups of water into the cooker and stir once. Check salt and adjust.
khichdi-cf1a02b3,10,Close the cooker lid and place the whistle. Cook on medium flame for 3 whistles (~10–12 minutes).
khichdi-cf1a02b3,11,Turn off the gas and allow the pressure to release naturally. Do not open immediately.
khichdi-cf1a02b3,12,"Open the lid carefully once pressure is released. Add chopped coriander, mix gently and serve hot with ghee or curd."
masala-dosa-0e7c2f,1,"Soak rice and urad dal with fenugreek separately for 4–6 hours. Grind to a smooth batter, mix and ferment overnight (8–12 hours)."
masala-dosa-0e7c2f,2,"Boil potatoes, peel and mash lightly; in a pan heat oil, add mustard seeds, curry leaves and onions, sauté until soft."
masala-dosa-0e7c2f,3,"Add turmeric and chopped green chillies, add mashed potatoes, salt and mix; cook 2–3 minutes and finish with coriander."
masala-dosa-0e7c2f,4,"Heat a non-stick tawa, pour a ladle of batter and spread into a thin circle; drizzle oil around edges."
masala-dosa-0e7c2f,5,"When dosa edges lift and bottom is golden, place potato masala on one side and fold; serve hot with sambar and chutney."
paneer-butter-masala-7d6ed0,1,Soak cashews in warm water for 15 minutes and grind to a smooth paste with a tablespoon of water.
paneer-butter-masala-7d6ed0,2,Heat butter and oil in a heavy-bottom pan on medium flame. Add finely chopped onions and sauté until translucent (4-5 minutes).
paneer-butter-masala-7d6ed0,3,Add ginger-garlic paste and sauté for 30 seconds until raw smell disappears.
paneer-butter-masala-7d6ed0,4,Add tomato puree and cook on medium heat until oil separates from the masala (6-7 minutes).
paneer-butter-masala-7d6ed0,5,"Add Kashmiri red chilli, turmeric, coriander powder and salt. Mix well and cook for 1 minute."
paneer-butter-masala-7d6ed0,6,"Stir in the cashew paste and 1/2 cup water. Cook for 2-3 minutes on low heat, stirring continuously."
paneer-butter-masala-7d6ed0,7,Add paneer cubes gently and simmer for 3 minutes so paneer absorbs the gravy flavors.
paneer-butter-masala-7d6ed0,8,"Stir in fresh cream, kasuri methi (crushed) and garam masala. Cook for 1 minute."
paneer-butter-masala-7d6ed0,9,Add sugar to balance the acidity and taste; adjust salt if necessary.
paneer-butter-masala-7d6ed0,10,"Turn off the heat, garnish with chopped coriander and a drizzle of cream."
paneer-butter-masala-7d6ed0,11,"Serve hot with naan, roti or jeera rice."
pasta-alfredo-bf06c6,1,Cook pasta according to package instructions until al dente; reserve 1/4 cup pasta water.
pasta-alfredo-bf06c6,2,"In a pan, melt butter, sauté garlic briefly then add heavy cream and simmer 2 minutes."
pasta-alfredo-bf06c6,3,Stir in grated parmesan until melted and smooth. Add cooked pasta and toss; use reserved pasta water to adjust consistency.
pasta-alfredo-bf06c6,4,"Season with salt and pepper, garnish with parsley and serve immediately."
pav-bhaji-c8dc67,1,"Boil potatoes, cauliflower and peas until soft; mash roughly."
pav-bhaji-c8dc67,2,"In a large pan, heat butter and oil; sauté chopped onions until golden."
pav-bhaji-c8dc67,3,Add tomato puree and cook until oil separates; add pav bhaji masala and salt.
pav-bhaji-c8dc67,4,"Add mashed vegetables, adjust water and simmer for 8-10 minutes, mashing well to a thick consistency."
pav-bhaji-c8dc67,5,"Serve hot with buttered pav, chopped onions, coriander and lemon wedges."
sweet-corn-soup-77c927,1,Heat oil in a pot; sauté onions and garlic until soft.
sweet-corn-soup-77c927,2,Add carrots and capsicum and sauté for 1-2 minutes.
sweet-corn-soup-77c927,3,Add sweet corn and vegetable stock; bring to a gentle boil.
sweet-corn-soup-77c927,4,Mix cornflour with 3 tbsp water to make a slurry; slowly add to the soup while stirring to thicken.
sweet-corn-soup-77c927,5,"If using egg, slowly pour beaten egg in a thin stream while stirring to create egg ribbons."
sweet-corn-soup-77c927,6,"Season with salt and pepper, garnish with spring onion and serve hot."
tomato-soup-c219c8,1,"Blanch tomatoes in boiling water for 2 minutes, peel and roughly chop."
tomato-soup-c219c8,2,"Heat oil in a saucepan, sauté chopped onions and garlic until translucent."
tomato-soup-c219c8,3,Add chopped tomatoes and cook for 5-6 minutes until soft.
tomato-soup-c219c8,4,"Add stock, sugar and basil leaves; simmer for 10 minutes."
tomato-soup-c219c8,5,"Blend the soup until smooth, strain if desired, return to pot and adjust seasoning."
tomato-soup-c219c8,6,"Stir in a tablespoon of cream if using, garnish with basil and serve with croutons."
veg-burrito-a1bc63,1,Warm tortillas on a pan for 20 seconds each to soften.
veg-burrito-a1bc63,2,"Mix rice, beans, corn, sautéed onion and pepper, salsa and cheese."
veg-burrito-a1bc63,3,"Place filling on tortilla, fold edges and roll tightly. Serve warm with salsa."
veg-hakka-noodles-0d5438,1,"Boil noodles according to packet instructions with a little oil; drain, rinse in cold water and toss with a drop of oil to prevent sticking."
veg-hakka-noodles-0d5438,2,"Heat wok, add oil and smashed garlic; sauté quickly."
veg-hakka-noodles-0d5438,3,Add sliced onion and green chillies; stir-fry 1 minute until translucent.
veg-hakka-noodles-0d5438,4,"Add shredded cabbage, carrots and capsicum; stir-fry on high heat for 2-3 minutes so vegetables remain crisp."
veg-hakka-noodles-0d5438,5,"Add soy sauce, chilli sauce, vinegar, salt and pepper; toss well."
veg-hakka-noodles-0d5438,6,Add noodles and toss vigorously on high heat for 1-2 minutes so sauces coat noodles evenly.
veg-hakka-noodles-0d5438,7,Finish with spring onion greens and serve immediately.
veg-manchurian-gravy-d32525,1,"Combine shredded cabbage, carrot, capsicum with salt, pepper, cornflour and maida; mix to form a stiff mixture."
veg-manchurian-gravy-d32525,2,Shape mixture into small balls (manchurian balls) and deep fry in hot oil until golden brown; drain on paper towel.
veg-manchurian-gravy-d32525,3,"For gravy, heat 2 tbsp oil in a pan; add minced garlic and ginger and sauté until aromatic."
veg-manchurian-gravy-d32525,4,"Add chopped onion and sauté until soft; add ketchup, soy sauce and vinegar."
veg-manchurian-gravy-d32525,5,Add 1 cup water and bring to a simmer. Mix cornflour with a little water and add to thicken the gravy to desired consistency.
veg-manchurian-gravy-d32525,6,Add fried manchurian balls to the gravy and simmer for 2-3 minutes so flavors combine.
veg-manchurian-gravy-d32525,7,Garnish with chopped spring onion and serve hot with fried rice or noodles.
aloo-paratha-43a5df,1,Make a soft dough with wheat flour and water; rest 15 minutes.
aloo-paratha-43a5df,2,"Mash boiled potatoes, add chopped chillies, coriander, garam masala and salt."
aloo-paratha-43a5df,3,"Roll dough into small circle, place potato filling, seal and roll gently into paratha."
aloo-paratha-43a5df,4,Cook on tawa with ghee until golden brown on both sides; serve hot with curd or pickle.
chicken-biryani-478714,1,Wash and soak basmati rice for 30 minutes.
chicken-biryani-478714,2,"Marinate chicken with yogurt, ginger-garlic paste, biryani masala, red chilli, turmeric and salt for at least 30 minutes."
chicken-biryani-478714,3,Fry onions until deep golden and set aside. Reserve some for garnish.
chicken-biryani-478714,4,Par-cook rice in salted boiling water till 70% done; drain and keep aside.
chicken-biryani-478714,5,"In a heavy bottom pan, heat ghee and oil, add whole spices and sauté for 30 seconds."
chicken-biryani-478714,6,Add marinated chicken and cook until chicken is 80% done and oil separates.
chicken-biryani-478714,7,"Layer half the rice over chicken, sprinkle half of mint, coriander and fried onions. Repeat layers."
chicken-biryani-478714,8,"Dissolve saffron in warm milk and drizzle on top, add ghee."
chicken-biryani-478714,9,Seal the pan with dough or tight lid and cook on low flame (dum) for 25-30 minutes.
chicken-biryani-478714,10,Turn off heat and rest for 10 minutes before opening. Gently mix layers and serve hot with raita.
chicken-curry-839b8a,1,"Heat oil, sauté onions until golden; add ginger-garlic paste and cook until raw smell disappears."
chicken-curry-839b8a,2,Add tomato puree and cook until oil separates.
chicken-curry-839b8a,3,"Add spices (turmeric, chilli, coriander) and mix; add chicken pieces and mix to coat."
chicken-curry-839b8a,4,"Add water to cover chicken partly, simmer on medium-low for 25-30 minutes until chicken is cooked and gravy thickens."
chicken-curry-839b8a,5,"Stir in garam masala, garnish with coriander and serve hot with rice or roti."
chicken-tacos-3537bc,1,Season chicken with taco spice and a pinch of salt; sauté in hot oil until cooked through.
chicken-tacos-3537bc,2,"Warm tortillas and layer with lettuce, chicken, tomato and onion."
chicken-tacos-3537bc,3,Top with sour cream or salsa and serve immediately.
chocolate-cake-80b61a,1,Preheat oven to 180°C (350°F). Grease and line a 8-inch cake pan.
chocolate-cake-80b61a,2,"In a bowl, sift flour, cocoa, baking powder, baking soda and salt."
chocolate-cake-80b61a,3,"In another bowl whisk eggs, sugar, oil and vanilla; mix with dry ingredients alternating with milk."
chocolate-cake-80b61a,4,Stir in hot water to make a smooth batter; pour into prepared pan and bake for 28-32 minutes until a skewer comes out clean.
chocolate-cake-80b61a,5,"Cool, remove from pan and frost or dust with cocoa as desired."
chole-masala-c339ad,1,Pressure cook soaked chickpeas with salt until soft (about 6-7 whistles).
chole-masala-c339ad,2,"Heat oil, add chopped onions and sauté until golden; add ginger-garlic paste and sauté briefly."
chole-masala-c339ad,3,"Add tomato puree and cook until oil separates; add chole masala, red chilli and cook 1-2 minutes."
chole-masala-c339ad,4,"Add cooked chickpeas, some of the cooking water, simmer for 10-12 minutes; add amchur and garnish with coriander."
dal-tadka-b4e22c,1,Rinse dal and cook with turmeric and water until soft (pressure cook 3-4 whistles).
dal-tadka-b4e22c,2,Mash dal to desired consistency and simmer for 4-5 minutes.
dal-tadka-b4e22c,3,"In a small pan, heat ghee, add cumin seeds, slit red chilli, garlic and curry leaves; sauté until garlic is golden."
dal-tadka-b4e22c,4,"Pour tadka over dal, mix well, garnish with coriander and serve with rice or roti."
egg-fried-rice-12dc44,1,"Heat wok, add oil and scramble beaten eggs quickly; remove and set aside."
egg-fried-rice-12dc44,2,"Add more oil, sauté garlic, then add cooked rice and toss on high heat."
egg-fried-rice-12dc44,3,"Add soy sauce, salt, pepper and mix; fold in scrambled eggs and spring onions before serving."
gulab-jamun-1346cf,1,"Make a smooth dough from milk powder, flour and milk; divide into small smooth balls without cracks."
gulab-jamun-1346cf,2,Heat sugar and water to make a one-string syrup; add crushed cardamom and a dash of rose water.
gulab-jamun-1346cf,3,Deep fry balls on low-medium heat until golden brown; drain briefly and transfer into warm sugar syrup. Let soak for 1-2 hours before serving.
